Country Group;Department;Subclass;Store Category;Total Stores Count;Avg Stcl Cnt;Store Count;Demand Avg;Demand Avg With Min/Max;Avg Stcl Cnt Max;Store Count;Demand Max;Demand Max With Min/Max;Avg Wsp Alokacyjny;Max Wsp Alokacyjny;Avg Wsp Alokacyjny With Min/Max;Max Wsp Alokacyjny With Min/Max
Non-UE;ladies' CROPP;t-shirts_s_s;A;11;137;10;84,34;84,34;20;10;232,73;232,73;7,67;21,16;7,67;21,16
Non-UE;ladies' CROPP;t-shirts_s_s;B;5;136;4;23,79;23,79;20;4;59,44;59,44;4,76;11,89;4,76;11,89
Non-UE;ladies' CROPP;t-shirts_s_s;C;7;118;7;31,04;31,04;17;7;77,84;77,84;4,43;11,12;4,43;11,12
Non-UE;ladies' CROPP;t-shirts_s_s;D;1;143;1;2,92;3,00;21;1;8,38;8,38;2,92;8,38;3,00;8,38
RUSSIA;ladies' CROPP;t-shirts_s_s;A;18;149;18;169,28;169,28;22;18;516,33;516,33;9,40;28,69;9,40;28,69
RUSSIA;ladies' CROPP;t-shirts_s_s;B;31;119;31;182,95;183,32;18;31;489,68;489,68;5,90;15,80;5,91;15,80
RUSSIA;ladies' CROPP;t-shirts_s_s;C;25;90;25;102,74;103,08;13;25;266,92;266,92;4,11;10,68;4,12;10,68
RUSSIA;ladies' CROPP;t-shirts_s_s;D;4;66;4;9,96;12,38;9;4;28,97;28,97;2,49;7,24;3,09;7,24
UE;ladies' CROPP;t-shirts_s_s;A;27;162;26;260,64;260,64;24;26;691,08;691,08;9,65;25,60;9,65;25,60
UE;ladies' CROPP;t-shirts_s_s;B;95;151;95;614,03;614,03;22;95;1528,16;1528,16;6,46;16,09;6,46;16,09
UE;ladies' CROPP;t-shirts_s_s;C;99;131;92;528,52;530,57;19;92;1200,31;1200,31;5,34;12,12;5,36;12,12
UE;ladies' CROPP;t-shirts_s_s;D;52;106;46;189,58;202,00;16;46;465,89;467,92;3,65;8,96;3,88;9,00
Non-UE;ladies' CROPP;t-shirts_l_s;A;4;10;3;10,00;13,12;1;3;23,15;23,15;2,50;5,79;3,28;5,79
Non-UE;ladies' CROPP;t-shirts_l_s;B;6;5;5;10,21;18,00;1;5;28,51;29,78;1,70;4,75;3,00;4,96
Non-UE;ladies' CROPP;t-shirts_l_s;C;14;4;9;12,14;42,00;1;9;26,77;48,08;0,87;1,91;3,00;3,43
RUSSIA;ladies' CROPP;t-shirts_l_s;A;10;11;10;32,07;36,62;1;10;88,69;88,69;3,21;8,87;3,66;8,87
RUSSIA;ladies' CROPP;t-shirts_l_s;B;24;9;24;46,04;74,14;1;24;134,03;140,94;1,92;5,58;3,09;5,87
RUSSIA;ladies' CROPP;t-shirts_l_s;C;42;4;39;62,36;134,10;1;39;143,63;184,54;1,48;3,42;3,19;4,39
RUSSIA;ladies' CROPP;t-shirts_l_s;D;2;6;2;2,28;6,00;1;2;8,73;9,90;1,14;4,36;3,00;4,95
UE;ladies' CROPP;t-shirts_l_s;A;43;10;42;132,65;152,75;1;42;339,81;340,72;3,08;7,90;3,55;7,92
UE;ladies' CROPP;t-shirts_l_s;B;104;8;94;251,46;352,12;1;94;627,01;652,02;2,42;6,03;3,39;6,27
UE;ladies' CROPP;t-shirts_l_s;C;73;4;61;156,40;264,72;1;61;299,21;363,34;2,14;4,10;3,63;4,98
UE;ladies' CROPP;t-shirts_l_s;D;53;2;39;117,99;205,02;1;39;172,28;240,31;2,23;3,25;3,87;4,53
Non-UE;ladies' CROPP;t-shirts_sleeveless;A;10;13;8;16,18;31,53;2;8;44,83;50,04;1,62;4,48;3,15;5,00
Non-UE;ladies' CROPP;t-shirts_sleeveless;B;6;12;5;4,71;18,00;2;5;19,42;23,11;0,79;3,24;3,00;3,85
Non-UE;ladies' CROPP;t-shirts_sleeveless;C;8;4;8;10,93;24,12;1;8;24,43;31,68;1,37;3,05;3,01;3,96
RUSSIA;ladies' CROPP;t-shirts_sleeveless;A;16;19;16;37,07;53,31;2;16;150,70;152,75;2,32;9,42;3,33;9,55
RUSSIA;ladies' CROPP;t-shirts_sleeveless;B;33;13;33;45,98;100,60;2;33;195,85;204,85;1,39;5,93;3,05;6,21
RUSSIA;ladies' CROPP;t-shirts_sleeveless;C;23;4;20;13,10;69,00;1;20;42,36;79,54;0,57;1,84;3,00;3,46
RUSSIA;ladies' CROPP;t-shirts_sleeveless;D;6;3;6;1,26;18,00;1;6;3,77;18,00;0,21;0,63;3,00;3,00
UE;ladies' CROPP;t-shirts_sleeveless;A;32;24;32;106,41;121,19;3;32;349,87;349,87;3,33;10,93;3,79;10,93
UE;ladies' CROPP;t-shirts_sleeveless;B;90;19;84;211,01;290,20;2;84;734,59;736,57;2,34;8,16;3,22;8,18
UE;ladies' CROPP;t-shirts_sleeveless;C;100;11;92;191,87;323,12;1;92;693,04;706,23;1,92;6,93;3,23;7,06
UE;ladies' CROPP;t-shirts_sleeveless;D;51;5;42;44,51;155,22;1;42;169,52;219,97;0,87;3,32;3,04;4,31
Non-UE;ladies' CROPP;shirts_l_s;A;1;43;1;6,26;6,26;6;1;18,20;18,20;6,26;18,20;6,26;18,20
Non-UE;ladies' CROPP;shirts_l_s;B;6;37;5;47,44;47,44;5;5;144,83;144,83;7,91;24,14;7,91;24,14
Non-UE;ladies' CROPP;shirts_l_s;C;8;38;7;47,20;47,20;5;7;132,47;132,47;5,90;16,56;5,90;16,56
Non-UE;ladies' CROPP;shirts_l_s;D;9;36;9;41,63;41,63;5;9;113,22;113,22;4,63;12,58;4,63;12,58
RUSSIA;ladies' CROPP;shirts_l_s;A;5;53;5;44,26;44,26;7;5;138,14;138,14;8,85;27,63;8,85;27,63
RUSSIA;ladies' CROPP;shirts_l_s;B;17;44;17;84,46;86,39;6;17;247,53;247,53;4,97;14,56;5,08;14,56
RUSSIA;ladies' CROPP;shirts_l_s;C;33;39;33;116,79;119,58;5;33;350,10;350,10;3,54;10,61;3,62;10,61
RUSSIA;ladies' CROPP;shirts_l_s;D;23;31;23;65,67;72,09;4;23;197,59;197,59;2,86;8,59;3,13;8,59
UE;ladies' CROPP;shirts_l_s;A;50;59;49;380,98;380,98;8;49;1276,22;1276,22;7,62;25,52;7,62;25,52
UE;ladies' CROPP;shirts_l_s;B;108;54;106;572,79;580,85;8;106;1723,49;1723,49;5,30;15,96;5,38;15,96
UE;ladies' CROPP;shirts_l_s;C;90;46;82;381,82;384,95;6;82;1059,76;1059,76;4,24;11,78;4,28;11,78
UE;ladies' CROPP;shirts_l_s;D;25;34;22;72,36;86,30;5;22;210,48;213,89;2,89;8,42;3,45;8,56
Non-UE;ladies' CROPP;sweaters;A;4;23;3;32,19;32,19;3;3;70,45;70,45;8,05;17,61;8,05;17,61
Non-UE;ladies' CROPP;sweaters;B;8;26;7;38,65;38,81;4;7;81,60;81,60;4,83;10,20;4,85;10,20
Non-UE;ladies' CROPP;sweaters;C;8;20;8;34,26;34,81;3;8;78,13;78,13;4,28;9,77;4,35;9,77
Non-UE;ladies' CROPP;sweaters;D;4;20;4;10,44;12,66;3;4;27,92;27,92;2,61;6,98;3,16;6,98
RUSSIA;ladies' CROPP;sweaters;A;26;28;26;193,97;193,97;4;26;450,61;450,61;7,46;17,33;7,46;17,33
RUSSIA;ladies' CROPP;sweaters;B;22;26;22;98,77;99,16;4;22;230,07;230,07;4,49;10,46;4,51;10,46
RUSSIA;ladies' CROPP;sweaters;C;24;25;24;82,53;88,19;3;24;212,85;212,85;3,44;8,87;3,67;8,87
RUSSIA;ladies' CROPP;sweaters;D;6;20;6;13,26;18,14;3;6;39,15;39,15;2,21;6,53;3,02;6,53
UE;ladies' CROPP;sweaters;A;26;31;26;177,20;178,17;4;26;445,78;445,78;6,82;17,15;6,85;17,15
UE;ladies' CROPP;sweaters;B;104;31;99;509,91;515,11;4;99;1203,29;1206,44;4,90;11,57;4,95;11,60
UE;ladies' CROPP;sweaters;C;99;30;91;386,67;401,84;4;91;943,14;947,35;3,91;9,53;4,06;9,57
UE;ladies' CROPP;sweaters;D;44;23;42;130,42;151,80;3;42;345,89;347,70;2,96;7,86;3,45;7,90
Non-UE;ladies' CROPP;jogging_tops;A;3;60;2;27,52;27,52;9;2;84,68;84,68;9,17;28,23;9,17;28,23
Non-UE;ladies' CROPP;jogging_tops;B;7;64;7;45,33;45,33;9;7;118,47;118,47;6,48;16,92;6,48;16,92
Non-UE;ladies' CROPP;jogging_tops;C;2;49;1;8,85;8,85;7;1;22,89;22,89;4,42;11,44;4,42;11,44
Non-UE;ladies' CROPP;jogging_tops;D;12;44;12;35,54;39,08;6;12;108,58;108,58;2,96;9,05;3,26;9,05
RUSSIA;ladies' CROPP;jogging_tops;A;29;64;29;227,45;227,45;9;29;645,72;645,72;7,84;22,27;7,84;22,27
